START DATE,END DATE,START TIME,END TIME,SUBJECT
2023/08/17,2023/08/17,10:15,11:35,Block B
2023/08/21,2023/08/21,8:30,9:55,Block B
2023/08/23,2023/08/23,13:25,14:45,Block B
2023/08/25,2023/08/25,12:45,14:05,Block B
2023/08/29,2023/08/29,10:15,11:35,Block B
2023/08/31,2023/08/31,8:30,9:55,Block B
2023/09/04,2023/09/04,14:10,15:30,Block B
2023/09/06,2023/09/06,11:30,12:50,Block B
2023/09/08,2023/09/08,10:15,11:35,Block B
2023/09/12,2023/09/12,8:30,9:55,Block B
2023/09/14,2023/09/14,14:10,15:30,Block B
2023/09/18,2023/09/18,12:45,14:05,Block B
2023/09/20,2023/09/20,10:05,11:25,Block B
2023/09/22,2023/09/22,8:30,9:55,Block B
2023/09/26,2023/09/26,14:10,15:30,Block B
2023/09/28,2023/09/28,12:45,14:05,Block B
2023/10/02,2023/10/02,10:15,11:35,Block B
2023/10/04,2023/10/04,8:30,9:50,Block B
2023/10/06,2023/10/06,14:10,15:30,Block B
2023/10/10,2023/10/10,12:45,14:05,Block B
2023/10/12,2023/10/12,10:15,11:35,Block B
2023/10/16,2023/10/16,8:30,9:55,Block B
2023/10/18,2023/10/18,13:25,14:45,Block B
2023/10/20,2023/10/20,12:45,14:05,Block B
2023/10/24,2023/10/24,10:15,11:35,Block B
2023/10/26,2023/10/26,8:30,9:55,Block B
2023/10/30,2023/10/30,14:10,15:30,Block B
2023/11/01,2023/11/01,11:30,12:50,Block B
2023/11/03,2023/11/03,10:15,11:35,Block B
2023/11/07,2023/11/07,8:30,9:55,Block B
2023/11/09,2023/11/09,14:10,15:30,Block B
2023/11/13,2023/11/13,12:45,14:05,Block B
2023/11/15,2023/11/15,10:05,11:25,Block B
2023/11/17,2023/11/17,8:30,9:55,Block B
2023/11/21,2023/11/21,14:10,15:30,Block B
2023/11/23,2023/11/23,12:45,14:05,Block B
2023/11/27,2023/11/27,10:15,11:35,Block B
2023/11/29,2023/11/29,8:30,9:50,Block B
2023/12/01,2023/12/01,14:10,15:30,Block B
2023/12/05,2023/12/05,12:45,14:05,Block B
2023/12/07,2023/12/07,10:15,11:35,Block B
2023/12/11,2023/12/11,8:30,9:55,Block B
2023/12/13,2023/12/13,13:25,14:45,Block B
2023/12/15,2023/12/15,12:45,14:05,Block B
2023/12/19,2023/12/19,10:15,11:35,Block B
2023/12/21,2023/12/21,8:30,9:55,Block B
2023/12/25,2023/12/25,14:10,15:30,Block B
2023/12/27,2023/12/27,11:30,12:50,Block B
2023/12/29,2023/12/29,10:15,11:35,Block B
2024/01/02,2024/01/02,8:30,9:55,Block B
2024/01/04,2024/01/04,14:10,15:30,Block B
2024/01/08,2024/01/08,12:45,14:05,Block B
2024/01/10,2024/01/10,10:05,11:25,Block B
2024/01/12,2024/01/12,8:30,9:55,Block B
2024/01/16,2024/01/16,14:10,15:30,Block B
2024/01/18,2024/01/18,12:45,14:05,Block B
2024/01/22,2024/01/22,10:15,11:35,Block B
2024/01/24,2024/01/24,8:30,9:50,Block B
2024/01/26,2024/01/26,14:10,15:30,Block B
2024/01/30,2024/01/30,12:45,14:05,Block B
2024/02/01,2024/02/01,10:15,11:35,Block B
2024/02/05,2024/02/05,8:30,9:55,Block B
2024/02/07,2024/02/07,13:25,14:45,Block B
2024/02/09,2024/02/09,12:45,14:05,Block B
2024/02/13,2024/02/13,10:15,11:35,Block B
2024/02/15,2024/02/15,8:30,9:55,Block B
2024/02/19,2024/02/19,14:10,15:30,Block B
2024/02/21,2024/02/21,11:30,12:50,Block B
2024/02/23,2024/02/23,10:15,11:35,Block B
2024/02/27,2024/02/27,8:30,9:55,Block B
2024/02/29,2024/02/29,14:10,15:30,Block B
2024/03/04,2024/03/04,12:45,14:05,Block B
2024/03/06,2024/03/06,10:05,11:25,Block B
2024/03/08,2024/03/08,8:30,9:55,Block B
2024/03/12,2024/03/12,14:10,15:30,Block B
2024/03/14,2024/03/14,12:45,14:05,Block B
2024/03/18,2024/03/18,10:15,11:35,Block B
2024/03/20,2024/03/20,8:30,9:50,Block B
2024/03/22,2024/03/22,14:10,15:30,Block B
2024/03/26,2024/03/26,12:45,14:05,Block B
2024/03/28,2024/03/28,10:15,11:35,Block B
2024/04/01,2024/04/01,8:30,9:55,Block B
2024/04/03,2024/04/03,13:25,14:45,Block B
2024/04/05,2024/04/05,12:45,14:05,Block B
2024/04/09,2024/04/09,10:15,11:35,Block B
2024/04/11,2024/04/11,8:30,9:55,Block B
2024/04/15,2024/04/15,14:10,15:30,Block B
2024/04/17,2024/04/17,11:30,12:50,Block B
2024/04/19,2024/04/19,10:15,11:35,Block B
2024/04/23,2024/04/23,8:30,9:55,Block B
2024/04/25,2024/04/25,14:10,15:30,Block B
2024/04/29,2024/04/29,12:45,14:05,Block B
2024/05/01,2024/05/01,10:05,11:25,Block B
2024/05/03,2024/05/03,8:30,9:55,Block B
2024/05/07,2024/05/07,14:10,15:30,Block B
2024/05/09,2024/05/09,12:45,14:05,Block B
2024/05/13,2024/05/13,10:15,11:35,Block B
2024/05/15,2024/05/15,8:30,9:50,Block B
2024/05/17,2024/05/17,14:10,15:30,Block B
2024/05/21,2024/05/21,12:45,14:05,Block B
2024/05/23,2024/05/23,10:15,11:35,Block B
2024/05/27,2024/05/27,8:30,9:55,Block B
