START DATE,END DATE,START TIME,END TIME,SUBJECT
2023/08/17,2023/08/17,11:35,11:40,Passing AM
2023/08/20,2023/08/20,11:35,11:40,Passing AM
2023/08/21,2023/08/21,11:35,11:40,Passing AM
2023/08/22,2023/08/22,11:25,11:30,Passing AM
2023/08/23,2023/08/23,11:35,11:40,Passing AM
2023/08/24,2023/08/24,11:35,11:40,Passing AM
2023/08/27,2023/08/27,11:35,11:40,Passing AM
2023/08/28,2023/08/28,11:35,11:40,Passing AM
2023/08/29,2023/08/29,11:25,11:30,Passing AM
2023/08/30,2023/08/30,11:35,11:40,Passing AM
2023/08/31,2023/08/31,11:35,11:40,Passing AM
2023/09/03,2023/09/03,11:35,11:40,Passing AM
2023/09/04,2023/09/04,11:35,11:40,Passing AM
2023/09/05,2023/09/05,11:25,11:30,Passing AM
2023/09/06,2023/09/06,11:35,11:40,Passing AM
2023/09/07,2023/09/07,11:35,11:40,Passing AM
2023/09/10,2023/09/10,11:35,11:40,Passing AM
2023/09/11,2023/09/11,11:35,11:40,Passing AM
2023/09/12,2023/09/12,11:25,11:30,Passing AM
2023/09/13,2023/09/13,11:35,11:40,Passing AM
2023/09/14,2023/09/14,11:35,11:40,Passing AM
2023/09/17,2023/09/17,11:35,11:40,Passing AM
2023/09/18,2023/09/18,11:35,11:40,Passing AM
2023/09/19,2023/09/19,11:25,11:30,Passing AM
2023/09/20,2023/09/20,11:35,11:40,Passing AM
2023/09/21,2023/09/21,11:35,11:40,Passing AM
2023/09/24,2023/09/24,11:35,11:40,Passing AM
2023/09/25,2023/09/25,11:35,11:40,Passing AM
2023/09/26,2023/09/26,11:25,11:30,Passing AM
2023/09/27,2023/09/27,11:35,11:40,Passing AM
2023/09/28,2023/09/28,11:35,11:40,Passing AM
2023/10/01,2023/10/01,11:35,11:40,Passing AM
2023/10/02,2023/10/02,11:35,11:40,Passing AM
2023/10/03,2023/10/03,11:25,11:30,Passing AM
2023/10/04,2023/10/04,11:35,11:40,Passing AM
2023/10/05,2023/10/05,11:35,11:40,Passing AM
2023/10/08,2023/10/08,11:35,11:40,Passing AM
2023/10/09,2023/10/09,11:35,11:40,Passing AM
2023/10/10,2023/10/10,11:25,11:30,Passing AM
2023/10/11,2023/10/11,11:35,11:40,Passing AM
2023/10/12,2023/10/12,11:35,11:40,Passing AM
2023/10/15,2023/10/15,11:35,11:40,Passing AM
2023/10/22,2023/10/22,11:35,11:40,Passing AM
2023/10/23,2023/10/23,11:35,11:40,Passing AM
2023/10/24,2023/10/24,11:25,11:30,Passing AM
2023/10/25,2023/10/25,11:35,11:40,Passing AM
2023/10/26,2023/10/26,11:35,11:40,Passing AM
2023/10/29,2023/10/29,11:35,11:40,Passing AM
2023/10/30,2023/10/30,11:35,11:40,Passing AM
2023/10/31,2023/10/31,11:25,11:30,Passing AM
2023/11/01,2023/11/01,11:35,11:40,Passing AM
2023/11/02,2023/11/02,11:35,11:40,Passing AM
2023/11/05,2023/11/05,11:35,11:40,Passing AM
2023/11/06,2023/11/06,11:35,11:40,Passing AM
2023/11/07,2023/11/07,11:25,11:30,Passing AM
